entrez_gene_id	status	symbol	type_of_gene	description
4267	imputed	CD99	protein-coding	CD99 molecule
427	measured	ASAH1	protein-coding	N-acylsphingosine amidohydrolase (acid ceramidase) 1
4277	imputed	MICB	protein-coding	MHC class I polypeptide-related sequence B
4281	imputed	MID1	protein-coding	midline 1
4282	measured	MIF	protein-coding	macrophage migration inhibitory factor (glycosylation-inhibiting factor)
4285	imputed	MIPEP	protein-coding	mitochondrial intermediate peptidase
4286	imputed	MITF	protein-coding	microphthalmia-associated transcription factor
4287	imputed	ATXN3	protein-coding	ataxin 3
4288	imputed	MKI67	protein-coding	marker of proliferation Ki-67
4289	imputed	MKLN1	protein-coding	muskelin 1, intracellular mediator containing kelch motifs
429	imputed	ASCL1	protein-coding	achaete-scute family bHLH transcription factor 1
4291	imputed	MLF1	protein-coding	myeloid leukemia factor 1
4292	imputed	MLH1	protein-coding	mutL homolog 1
4293	imputed	MAP3K9	protein-coding	mitogen-activated protein kinase kinase kinase 9
4297	imputed	KMT2A	protein-coding	lysine (K)-specific methyltransferase 2A
4299	imputed	AFF1	protein-coding	AF4/FMR2 family, member 1
4303	measured	FOXO4	protein-coding	forkhead box O4
4312	measured	MMP1	protein-coding	matrix metallopeptidase 1
4313	measured	MMP2	protein-coding	matrix metallopeptidase 2
4316	imputed	MMP7	protein-coding	matrix metallopeptidase 7
4320	imputed	MMP11	protein-coding	matrix metallopeptidase 11
4323	imputed	MMP14	protein-coding	matrix metallopeptidase 14 (membrane-inserted)
4329	imputed	ALDH6A1	protein-coding	aldehyde dehydrogenase 6 family, member A1
4331	measured	MNAT1	protein-coding	MNAT CDK-activating kinase assembly factor 1
4335	imputed	MNT	protein-coding	MAX network transcriptional repressor
4338	imputed	MOCS2	protein-coding	molybdenum cofactor synthesis 2
435	imputed	ASL	protein-coding	argininosuccinate lyase
4350	imputed	MPG	protein-coding	N-methylpurine-DNA glycosylase
4351	imputed	MPI	protein-coding	mannose phosphate isomerase
4354	imputed	MPP1	protein-coding	membrane protein, palmitoylated 1, 55kDa
4357	imputed	MPST	protein-coding	mercaptopyruvate sulfurtransferase
4358	imputed	MPV17	protein-coding	MpV17 mitochondrial inner membrane protein
4359	imputed	MPZ	protein-coding	myelin protein zero
4361	imputed	MRE11A	protein-coding	MRE11 meiotic recombination 11 homolog A (S. cerevisiae)
4363	imputed	ABCC1	protein-coding	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
439	imputed	ASNA1	protein-coding	arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)
439921	imputed	MXRA7	protein-coding	matrix-remodelling associated 7
440	imputed	ASNS	protein-coding	asparagine synthetase (glutamine-hydrolyzing)
440026	imputed	TMEM41B	protein-coding	transmembrane protein 41B
440193	imputed	CCDC88C	protein-coding	coiled-coil domain containing 88C
440270	imputed	GOLGA8B	protein-coding	golgin A8 family, member B
440434	imputed	LOC440434	pseudo	aminopeptidase puromycin sensitive pseudogene
441263	imputed	DTX2P1-UPK3BP1-PMS2P11	pseudo	DTX2P1-UPK3BP1-PMS2P11 readthrough transcribed pseudogene
443	imputed	ASPA	protein-coding	aspartoacylase
4430	imputed	MYO1B	protein-coding	myosin IB
4435	imputed	CITED1	protein-coding	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 1
4436	imputed	MSH2	protein-coding	mutS homolog 2
444	imputed	ASPH	protein-coding	aspartate beta-hydroxylase
445	imputed	ASS1	protein-coding	argininosuccinate synthase 1
445347	imputed	TARP	protein-coding	TCR gamma alternate reading frame protein
4478	imputed	MSN	protein-coding	moesin
4482	measured	MSRA	protein-coding	methionine sulfoxide reductase A
4485	imputed	MST1	protein-coding	macrophage stimulating 1
4486	imputed	MST1R	protein-coding	macrophage stimulating 1 receptor
4487	imputed	MSX1	protein-coding	msh homeobox 1
4488	imputed	MSX2	protein-coding	msh homeobox 2
4493	imputed	MT1E	protein-coding	metallothionein 1E
4494	imputed	MT1F	protein-coding	metallothionein 1F
4495	imputed	MT1G	protein-coding	metallothionein 1G
4496	imputed	MT1H	protein-coding	metallothionein 1H
4499	imputed	MT1M	protein-coding	metallothionein 1M
4501	imputed	MT1X	protein-coding	metallothionein 1X
4502	imputed	MT2A	protein-coding	metallothionein 2A
4520	imputed	MTF1	protein-coding	metal-regulatory transcription factor 1
4521	imputed	NUDT1	protein-coding	nudix (nucleoside diphosphate linked moiety X)-type motif 1
4522	imputed	MTHFD1	protein-coding	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase
4528	imputed	MTIF2	protein-coding	mitochondrial translational initiation factor 2
4548	imputed	MTR	protein-coding	5-methyltetrahydrofolate-homocysteine methyltransferase
4552	imputed	MTRR	protein-coding	5-methyltetrahydrofolate-homocysteine methyltransferase reductase
4582	measured	MUC1	protein-coding	mucin 1, cell surface associated
4586	imputed	MUC5AC	protein-coding	mucin 5AC, oligomeric mucus/gel-forming
4591	imputed	TRIM37	protein-coding	tripartite motif containing 37
4594	imputed	MUT	protein-coding	methylmalonyl CoA mutase
4595	imputed	MUTYH	protein-coding	mutY homolog
4597	imputed	MVD	protein-coding	mevalonate (diphospho) decarboxylase
4598	imputed	MVK	protein-coding	mevalonate kinase
4599	imputed	MX1	protein-coding	MX dynamin-like GTPase 1
4600	imputed	MX2	protein-coding	MX dynamin-like GTPase 2
4601	imputed	MXI1	protein-coding	MAX interactor 1, dimerization protein
4602	imputed	MYB	protein-coding	v-myb avian myeloblastosis viral oncogene homolog
4605	measured	MYBL2	protein-coding	v-myb avian myeloblastosis viral oncogene homolog-like 2
4609	measured	MYC	protein-coding	v-myc avian myelocytomatosis viral oncogene homolog
4615	imputed	MYD88	protein-coding	myeloid differentiation primary response 88
4616	measured	GADD45B	protein-coding	growth arrest and DNA-damage-inducible, beta
4627	imputed	MYH9	protein-coding	myosin, heavy chain 9, non-muscle
4628	imputed	MYH10	protein-coding	myosin, heavy chain 10, non-muscle
4636	imputed	MYL5	protein-coding	myosin, light chain 5, regulatory
4637	imputed	MYL6	protein-coding	myosin, light chain 6, alkali, smooth muscle and non-muscle
4638	measured	MYLK	protein-coding	myosin light chain kinase
4641	imputed	MYO1C	protein-coding	myosin IC
4643	imputed	MYO1E	protein-coding	myosin IE
4644	imputed	MYO5A	protein-coding	myosin VA (heavy chain 12, myoxin)
4646	imputed	MYO6	protein-coding	myosin VI
4651	measured	MYO10	protein-coding	myosin X
4659	imputed	PPP1R12A	protein-coding	protein phosphatase 1, regulatory subunit 12A
466	measured	ATF1	protein-coding	activating transcription factor 1
4664	imputed	NAB1	protein-coding	NGFI-A binding protein 1 (EGR1 binding protein 1)
4666	imputed	NACA	protein-coding	nascent polypeptide-associated complex alpha subunit
4668	imputed	NAGA	protein-coding	N-acetylgalactosaminidase, alpha-
4669	imputed	NAGLU	protein-coding	N-acetylglucosaminidase, alpha
467	imputed	ATF3	protein-coding	activating transcription factor 3
4670	imputed	HNRNPM	protein-coding	heterogeneous nuclear ribonucleoprotein M
4673	imputed	NAP1L1	protein-coding	nucleosome assembly protein 1-like 1
4675	imputed	NAP1L3	protein-coding	nucleosome assembly protein 1-like 3
4676	imputed	NAP1L4	protein-coding	nucleosome assembly protein 1-like 4
4677	imputed	NARS	protein-coding	asparaginyl-tRNA synthetase
4678	imputed	NASP	protein-coding	nuclear autoantigenic sperm protein (histone-binding)
468	imputed	ATF4	protein-coding	activating transcription factor 4
4680	imputed	CEACAM6	protein-coding	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)
4681	imputed	NBL1	protein-coding	neuroblastoma 1, DAN family BMP antagonist
4682	imputed	NUBP1	protein-coding	nucleotide binding protein 1
4683	imputed	NBN	protein-coding	nibrin
4686	imputed	NCBP1	protein-coding	nuclear cap binding protein subunit 1, 80kDa
4690	measured	NCK1	protein-coding	NCK adaptor protein 1
4691	imputed	NCL	protein-coding	nucleolin
4692	imputed	NDN	protein-coding	necdin, melanoma antigen (MAGE) family member
4694	imputed	NDUFA1	protein-coding	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1, 7.5kDa
4695	imputed	NDUFA2	protein-coding	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, 8kDa
4696	imputed	NDUFA3	protein-coding	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3, 9kDa
4697	imputed	NDUFA4	protein-coding	NDUFA4, mitochondrial complex associated
4698	imputed	NDUFA5	protein-coding	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5
47	measured	ACLY	protein-coding	ATP citrate lyase
4700	imputed	NDUFA6	protein-coding	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14kDa
4701	imputed	NDUFA7	protein-coding	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7, 14.5kDa
4702	imputed	NDUFA8	protein-coding	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8, 19kDa
4704	imputed	NDUFA9	protein-coding	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9, 39kDa
4705	imputed	NDUFA10	protein-coding	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa
4706	imputed	NDUFAB1	protein-coding	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa
4707	imputed	NDUFB1	protein-coding	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 1, 7kDa
4708	imputed	NDUFB2	protein-coding	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2, 8kDa
4709	imputed	NDUFB3	protein-coding	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 3, 12kDa
471	imputed	ATIC	protein-coding	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
4710	imputed	NDUFB4	protein-coding	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 15kDa
4711	imputed	NDUFB5	protein-coding	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16kDa
4712	imputed	NDUFB6	protein-coding	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6, 17kDa
4713	imputed	NDUFB7	protein-coding	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7, 18kDa
4714	imputed	NDUFB8	protein-coding	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8, 19kDa
4717	imputed	NDUFC1	protein-coding	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1, 6kDa
4718	imputed	NDUFC2	protein-coding	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa
4719	imputed	NDUFS1	protein-coding	NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)
472	imputed	ATM	protein-coding	ATM serine/threonine kinase
4720	imputed	NDUFS2	protein-coding	NADH dehydrogenase (ubiquinone) Fe-S protein 2, 49kDa (NADH-coenzyme Q reductase)
4722	imputed	NDUFS3	protein-coding	NADH dehydrogenase (ubiquinone) Fe-S protein 3, 30kDa (NADH-coenzyme Q reductase)
4723	imputed	NDUFV1	protein-coding	NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa
4724	imputed	NDUFS4	protein-coding	NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)
4726	imputed	NDUFS6	protein-coding	NADH dehydrogenase (ubiquinone) Fe-S protein 6, 13kDa (NADH-coenzyme Q reductase)
4728	imputed	NDUFS8	protein-coding	NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase)
4729	imputed	NDUFV2	protein-coding	NADH dehydrogenase (ubiquinone) flavoprotein 2, 24kDa
473	imputed	RERE	protein-coding	arginine-glutamic acid dipeptide (RE) repeats
4733	imputed	DRG1	protein-coding	developmentally regulated GTP binding protein 1
4734	imputed	NEDD4	protein-coding	neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase
4735	imputed	SEPT2	protein-coding	septin 2
4736	imputed	RPL10A	protein-coding	ribosomal protein L10a
4738	imputed	NEDD8	protein-coding	neural precursor cell expressed, developmentally down-regulated 8
4739	imputed	NEDD9	protein-coding	neural precursor cell expressed, developmentally down-regulated 9
4741	imputed	NEFM	protein-coding	neurofilament, medium polypeptide
4744	imputed	NEFH	protein-coding	neurofilament, heavy polypeptide
4745	imputed	NELL1	protein-coding	NEL-like 1 (chicken)
4747	imputed	NEFL	protein-coding	neurofilament, light polypeptide
475	imputed	ATOX1	protein-coding	antioxidant 1 copper chaperone
4750	imputed	NEK1	protein-coding	NIMA-related kinase 1
4751	imputed	NEK2	protein-coding	NIMA-related kinase 2
4756	imputed	NEO1	protein-coding	neogenin 1
4758	imputed	NEU1	protein-coding	sialidase 1 (lysosomal sialidase)
476	imputed	ATP1A1	protein-coding	ATPase, Na+/K+ transporting, alpha 1 polypeptide
4763	imputed	NF1	protein-coding	neurofibromin 1
4771	imputed	NF2	protein-coding	neurofibromin 2 (merlin)
4772	imputed	NFATC1	protein-coding	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1
4775	measured	NFATC3	protein-coding	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3
4776	measured	NFATC4	protein-coding	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4
4779	imputed	NFE2L1	protein-coding	nuclear factor, erythroid 2-like 1
4780	measured	NFE2L2	protein-coding	nuclear factor, erythroid 2-like 2
4781	imputed	NFIB	protein-coding	nuclear factor I/B
4782	imputed	NFIC	protein-coding	nuclear factor I/C (CCAAT-binding transcription factor)
4783	measured	NFIL3	protein-coding	nuclear factor, interleukin 3 regulated
4790	imputed	NFKB1	protein-coding	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1
4791	measured	NFKB2	protein-coding	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)
4792	measured	NFKBIA	protein-coding	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha
4793	measured	NFKBIB	protein-coding	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta
4794	measured	NFKBIE	protein-coding	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon
4798	imputed	NFRKB	protein-coding	nuclear factor related to kappaB binding protein
4799	imputed	NFX1	protein-coding	nuclear transcription factor, X-box binding 1
48	imputed	ACO1	protein-coding	aconitase 1, soluble
4800	imputed	NFYA	protein-coding	nuclear transcription factor Y, alpha
4801	imputed	NFYB	protein-coding	nuclear transcription factor Y, beta
4802	imputed	NFYC	protein-coding	nuclear transcription factor Y, gamma
4809	imputed	NHP2L1	protein-coding	NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)
481	measured	ATP1B1	protein-coding	ATPase, Na+/K+ transporting, beta 1 polypeptide
4814	imputed	NINJ1	protein-coding	ninjurin 1
4815	imputed	NINJ2	protein-coding	ninjurin 2
4817	measured	NIT1	protein-coding	nitrilase 1
4820	imputed	NKTR	protein-coding	natural killer cell triggering receptor
4824	imputed	NKX3-1	protein-coding	NK3 homeobox 1
4828	imputed	NMB	protein-coding	neuromedin B
483	imputed	ATP1B3	protein-coding	ATPase, Na+/K+ transporting, beta 3 polypeptide
4830	imputed	NME1	protein-coding	NME/NM23 nucleoside diphosphate kinase 1
4832	imputed	NME3	protein-coding	NME/NM23 nucleoside diphosphate kinase 3
4833	imputed	NME4	protein-coding	NME/NM23 nucleoside diphosphate kinase 4
4835	imputed	NQO2	protein-coding	NAD(P)H dehydrogenase, quinone 2
4836	measured	NMT1	protein-coding	N-myristoyltransferase 1
4837	imputed	NNMT	protein-coding	nicotinamide N-methyltransferase
4839	imputed	NOP2	protein-coding	NOP2 nucleolar protein
4841	imputed	NONO	protein-coding	non-POU domain containing, octamer-binding
4846	measured	NOS3	protein-coding	nitric oxide synthase 3 (endothelial cell)
4848	imputed	CNOT2	protein-coding	CCR4-NOT transcription complex, subunit 2
4849	imputed	CNOT3	protein-coding	CCR4-NOT transcription complex, subunit 3
4850	measured	CNOT4	protein-coding	CCR4-NOT transcription complex, subunit 4
4851	measured	NOTCH1	protein-coding	notch 1
4852	imputed	NPY	protein-coding	neuropeptide Y
4853	imputed	NOTCH2	protein-coding	notch 2
4854	imputed	NOTCH3	protein-coding	notch 3
4856	imputed	NOV	protein-coding	nephroblastoma overexpressed
4857	imputed	NOVA1	protein-coding	neuro-oncological ventral antigen 1
486	imputed	FXYD2	protein-coding	FXYD domain containing ion transport regulator 2
4860	measured	PNP	protein-coding	purine nucleoside phosphorylase
4862	imputed	NPAS2	protein-coding	neuronal PAS domain protein 2
4863	imputed	NPAT	protein-coding	nuclear protein, ataxia-telangiectasia locus
4864	measured	NPC1	protein-coding	Niemann-Pick disease, type C1
4869	imputed	NPM1	protein-coding	nucleophosmin (nucleolar phosphoprotein B23, numatrin)
488	imputed	ATP2A2	protein-coding	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2
4882	imputed	NPR2	protein-coding	natriuretic peptide receptor 2
4883	imputed	NPR3	protein-coding	natriuretic peptide receptor 3
4885	imputed	NPTX2	protein-coding	neuronal pentraxin II
4886	imputed	NPY1R	protein-coding	neuropeptide Y receptor Y1
4891	measured	SLC11A2	protein-coding	solute carrier family 11 (proton-coupled divalent metal ion transporter), member 2
4893	measured	NRAS	protein-coding	neuroblastoma RAS viral (v-ras) oncogene homolog
4897	imputed	NRCAM	protein-coding	neuronal cell adhesion molecule
4898	imputed	NRD1	protein-coding	nardilysin (N-arginine dibasic convertase)
4899	imputed	NRF1	protein-coding	nuclear respiratory factor 1
490	imputed	ATP2B1	protein-coding	ATPase, Ca++ transporting, plasma membrane 1
4904	imputed	YBX1	protein-coding	Y box binding protein 1
4905	imputed	NSF	protein-coding	N-ethylmaleimide-sensitive factor
4907	imputed	NT5E	protein-coding	5'-nucleotidase, ecto (CD73)
4913	imputed	NTHL1	protein-coding	nth endonuclease III-like 1 (E. coli)
4915	imputed	NTRK2	protein-coding	neurotrophic tyrosine kinase, receptor, type 2
4919	imputed	ROR1	protein-coding	receptor tyrosine kinase-like orphan receptor 1
4922	imputed	NTS	protein-coding	neurotensin
4924	imputed	NUCB1	protein-coding	nucleobindin 1
4925	measured	NUCB2	protein-coding	nucleobindin 2
4926	imputed	NUMA1	protein-coding	nuclear mitotic apparatus protein 1
4927	measured	NUP88	protein-coding	nucleoporin 88kDa
4928	imputed	NUP98	protein-coding	nucleoporin 98kDa
4929	imputed	NR4A2	protein-coding	nuclear receptor subfamily 4, group A, member 2
493	imputed	ATP2B4	protein-coding	ATPase, Ca++ transporting, plasma membrane 4
4931	measured	NVL	protein-coding	nuclear VCP-like
4938	imputed	OAS1	protein-coding	2'-5'-oligoadenylate synthetase 1, 40/46kDa
4939	imputed	OAS2	protein-coding	2'-5'-oligoadenylate synthetase 2, 69/71kDa
4940	imputed	OAS3	protein-coding	2'-5'-oligoadenylate synthetase 3, 100kDa
4942	imputed	OAT	protein-coding	ornithine aminotransferase
4946	imputed	OAZ1	protein-coding	ornithine decarboxylase antizyme 1
4947	imputed	OAZ2	protein-coding	ornithine decarboxylase antizyme 2
4952	imputed	OCRL	protein-coding	oculocerebrorenal syndrome of Lowe
4953	imputed	ODC1	protein-coding	ornithine decarboxylase 1
4957	imputed	ODF2	protein-coding	outer dense fiber of sperm tails 2
4967	imputed	OGDH	protein-coding	oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)
4968	imputed	OGG1	protein-coding	8-oxoguanine DNA glycosylase
4976	imputed	OPA1	protein-coding	optic atrophy 1 (autosomal dominant)
498	imputed	ATP5A1	protein-coding	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle
4982	imputed	TNFRSF11B	protein-coding	tumor necrosis factor receptor superfamily, member 11b
4983	imputed	OPHN1	protein-coding	oligophrenin 1
49855	imputed	SCAPER	protein-coding	S-phase cyclin A-associated protein in the ER
49856	imputed	WRAP73	protein-coding	WD repeat containing, antisense to TP73
4998	measured	ORC1	protein-coding	origin recognition complex, subunit 1
4999	imputed	ORC2	protein-coding	origin recognition complex, subunit 2
50	imputed	ACO2	protein-coding	aconitase 2, mitochondrial
5000	imputed	ORC4	protein-coding	origin recognition complex, subunit 4
5001	imputed	ORC5	protein-coding	origin recognition complex, subunit 5
5002	imputed	SLC22A18	protein-coding	solute carrier family 22, member 18
5007	imputed	OSBP	protein-coding	oxysterol binding protein
501	measured	ALDH7A1	protein-coding	aldehyde dehydrogenase 7 family, member A1
5018	measured	OXA1L	protein-coding	oxidase (cytochrome c) assembly 1-like
5019	measured	OXCT1	protein-coding	3-oxoacid CoA transferase 1
5021	imputed	OXTR	protein-coding	oxytocin receptor
5025	imputed	P2RX4	protein-coding	purinergic receptor P2X, ligand gated ion channel, 4
5026	imputed	P2RX5	protein-coding	purinergic receptor P2X, ligand gated ion channel, 5
5029	imputed	P2RY2	protein-coding	purinergic receptor P2Y, G-protein coupled, 2
5033	imputed	P4HA1	protein-coding	prolyl 4-hydroxylase, alpha polypeptide I
5034	imputed	P4HB	protein-coding	prolyl 4-hydroxylase, beta polypeptide
5036	imputed	PA2G4	protein-coding	proliferation-associated 2G4, 38kDa
5037	imputed	PEBP1	protein-coding	phosphatidylethanolamine binding protein 1
5042	imputed	PABPC3	protein-coding	poly(A) binding protein, cytoplasmic 3
5045	imputed	FURIN	protein-coding	furin (paired basic amino acid cleaving enzyme)
5046	imputed	PCSK6	protein-coding	proprotein convertase subtilisin/kexin type 6
5048	measured	PAFAH1B1	protein-coding	platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa)
50485	imputed	SMARCAL1	protein-coding	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a-like 1
50486	imputed	G0S2	protein-coding	G0/G1 switch 2
50488	imputed	MINK1	protein-coding	misshapen-like kinase 1
5049	imputed	PAFAH1B2	protein-coding	platelet-activating factor acetylhydrolase 1b, catalytic subunit 2 (30kDa)
5050	measured	PAFAH1B3	protein-coding	platelet-activating factor acetylhydrolase 1b, catalytic subunit 3 (29kDa)
50512	imputed	PODXL2	protein-coding	podocalyxin-like 2
50515	imputed	CHST11	protein-coding	carbohydrate (chondroitin 4) sulfotransferase 11
5052	imputed	PRDX1	protein-coding	peroxiredoxin 1
5054	measured	SERPINE1	protein-coding	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1
5055	imputed	SERPINB2	protein-coding	serpin peptidase inhibitor, clade B (ovalbumin), member 2
5058	measured	PAK1	protein-coding	p21 protein (Cdc42/Rac)-activated kinase 1
506	imputed	ATP5B	protein-coding	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide
50618	imputed	ITSN2	protein-coding	intersectin 2
5062	imputed	PAK2	protein-coding	p21 protein (Cdc42/Rac)-activated kinase 2
50628	imputed	GEMIN4	protein-coding	gem (nuclear organelle) associated protein 4
50650	imputed	ARHGEF3	protein-coding	Rho guanine nucleotide exchange factor (GEF) 3
5066	imputed	PAM	protein-coding	peptidylglycine alpha-amidating monooxygenase
5069	imputed	PAPPA	protein-coding	pregnancy-associated plasma protein A, pappalysin 1
50717	imputed	DCAF8	protein-coding	DDB1 and CUL4 associated factor 8
5073	imputed	PARN	protein-coding	poly(A)-specific ribonuclease
50807	imputed	ASAP1	protein-coding	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1
50809	imputed	HP1BP3	protein-coding	heterochromatin protein 1, binding protein 3
50810	measured	HDGFRP3	protein-coding	hepatoma-derived growth factor, related protein 3
50813	measured	COPS7A	protein-coding	COP9 signalosome subunit 7A
50814	measured	NSDHL	protein-coding	NAD(P) dependent steroid dehydrogenase-like
5082	imputed	PDCL	protein-coding	phosducin-like
50853	imputed	VILL	protein-coding	villin-like
50854	imputed	C6orf48	protein-coding	chromosome 6 open reading frame 48
50862	imputed	RNF141	protein-coding	ring finger protein 141
50863	imputed	NTM	protein-coding	neurotrimin
50865	measured	HEBP1	protein-coding	heme binding protein 1
5087	imputed	PBX1	protein-coding	pre-B-cell leukemia homeobox 1
5089	imputed	PBX2	protein-coding	pre-B-cell leukemia homeobox 2
509	imputed	ATP5C1	protein-coding	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1
5091	imputed	PC	protein-coding	pyruvate carboxylase
5092	measured	PCBD1	protein-coding	pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha
5093	imputed	PCBP1	protein-coding	poly(rC) binding protein 1
5094	imputed	PCBP2	protein-coding	poly(rC) binding protein 2
5095	imputed	PCCA	protein-coding	propionyl CoA carboxylase, alpha polypeptide
5096	measured	PCCB	protein-coding	propionyl CoA carboxylase, beta polypeptide
50999	imputed	TMED5	protein-coding	transmembrane emp24 protein transport domain containing 5
51	imputed	ACOX1	protein-coding	acyl-CoA oxidase 1, palmitoyl
51001	measured	MTERF3	protein-coding	mitochondrial transcription termination factor 3
51002	imputed	TPRKB	protein-coding	TP53RK binding protein
51004	imputed	COQ6	protein-coding	coenzyme Q6 monooxygenase
51005	measured	AMDHD2	protein-coding	amidohydrolase domain containing 2
51006	imputed	SLC35C2	protein-coding	solute carrier family 35 (GDP-fucose transporter), member C2
51008	imputed	ASCC1	protein-coding	activating signal cointegrator 1 complex subunit 1
51009	imputed	DERL2	protein-coding	derlin 2
5101	imputed	PCDH9	protein-coding	protocadherin 9
51011	imputed	FAHD2A	protein-coding	fumarylacetoacetate hydrolase domain containing 2A
51012	imputed	SLMO2	protein-coding	slowmo homolog 2 (Drosophila)
51014	imputed	TMED7	protein-coding	transmembrane emp24 protein transport domain containing 7
51015	measured	ISOC1	protein-coding	isochorismatase domain containing 1
51016	imputed	EMC9	protein-coding	ER membrane protein complex subunit 9
51018	imputed	RRP15	protein-coding	ribosomal RNA processing 15 homolog (S. cerevisiae)
51019	imputed	CCDC53	protein-coding	coiled-coil domain containing 53
51020	imputed	HDDC2	protein-coding	HD domain containing 2
51021	measured	MRPS16	protein-coding	mitochondrial ribosomal protein S16
51022	imputed	GLRX2	protein-coding	glutaredoxin 2
51024	measured	FIS1	protein-coding	fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae)
51025	imputed	PAM16	protein-coding	presequence translocase-associated motor 16 homolog (S. cerevisiae)
51026	measured	GOLT1B	protein-coding	golgi transport 1B
51027	imputed	BOLA1	protein-coding	bolA family member 1
51029	imputed	DESI2	protein-coding	desumoylating isopeptidase 2
51030	imputed	TVP23B	protein-coding	trans-golgi network vesicle protein 23 homolog B (S. cerevisiae)
51031	measured	GLOD4	protein-coding	glyoxalase domain containing 4
51035	imputed	UBXN1	protein-coding	UBX domain protein 1
5104	imputed	SERPINA5	protein-coding	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5
51042	imputed	ZNF593	protein-coding	zinc finger protein 593
51053	measured	GMNN	protein-coding	geminin, DNA replication inhibitor
51056	measured	LAP3	protein-coding	leucine aminopeptidase 3
5106	measured	PCK2	protein-coding	phosphoenolpyruvate carboxykinase 2 (mitochondrial)
51065	imputed	RPS27L	protein-coding	ribosomal protein S27-like
51067	imputed	YARS2	protein-coding	tyrosyl-tRNA synthetase 2, mitochondrial
51068	imputed	NMD3	protein-coding	NMD3 ribosome export adaptor
51069	imputed	MRPL2	protein-coding	mitochondrial ribosomal protein L2
51070	measured	NOSIP	protein-coding	nitric oxide synthase interacting protein
51071	measured	DERA	protein-coding	deoxyribose-phosphate aldolase (putative)
51073	imputed	MRPL4	protein-coding	mitochondrial ribosomal protein L4
51074	imputed	APIP	protein-coding	APAF1 interacting protein
51075	imputed	TMX2	protein-coding	thioredoxin-related transmembrane protein 2
51076	imputed	CUTC	protein-coding	cutC copper transporter
